ค่าย,ประเภทแพ็กเกจ,ชื่อแพ็กเกจ, ค่าบริการ ,หน่วยราคา,โทรในเครือข่าย,โทรนอกเครือข่าย,เงื่อนไขโทร,ปริมาณเน็ต,ความเร็วเน็ตสูงสุด,Wifi,ส่วนเกินค่าโทรในเครือข่าย,ส่วนเกินค่าโทรนอกเครือข่าย,ส่วนเกินค่าเน็ต,SMS,MMS,ส่วนเกินSMS ,ส่วนเกินMMS ,ของแถม,เงื่อนไขเพิ่มเติม,Type,price,baht,call,min,netcapacity,gb,speed,mbps
AIS,รายเดือน,4G Max Speed Non-Stop Plus,599,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),4 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,70 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"ใช้ 4G/3G ได้ 6 GB, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps",4G/3G,599,,100,,4,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,499,บาท/เดือน,80 นาที ,80 นาที ,(ทุกเครือข่าย),3 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,50 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"ใช้ 4G/3G ได้ 6 GB, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps",4G/3G,499,,80,,3,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,399,บาท/เดือน,70 นาที ,70 นาที ,(ทุกเครือข่าย),-,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,40 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"ใช้ 4G/3G ได้ 3 GB, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps",4G/3G,399,,70,,3,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,299,บาท/เดือน,50 นาที ,50 นาที ,(ทุกเครือข่าย),-,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,20 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"ใช้ 4G/3G ได้ 1 GB, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps",4G/3G,299,,50,,1,,300,
AIS,รายเดือน,4G Max Speed,899,บาท/เดือน,400 นาที ,400 นาที ,(ทุกเครือข่าย),30 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"YouTube Premium 6 เดือน,รับสิทธิ์ฟรีเน็ตสำหรับ PLAY FAMILY ฟรี 6 เดือน, AIS PLAY 12 เดือน, Microsoft Office 365 และ Zoom Video Conferencing 3 เดือน,ได้รับสิทธิ์เซเรเนด Emerald นานสูงสุด 12 เดือน,ประกันภัยไวรัสโคโรนา (COVID-19) จากทิพยประกันภัย คุ้มครอง 45 วัน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,899,,400,,30,,300,
AIS,รายเดือน,4G Max Speed,699,บาท/เดือน,300 นาที ,300 นาที ,(ทุกเครือข่าย),20 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"YouTube Premium 6 เดือน,รับสิทธิ์ฟรีเน็ตสำหรับ PLAY FAMILY ฟรี 6 เดือน, AIS PLAY 12 เดือน, Microsoft Office 365 และ Zoom Video Conferencing 3 เดือน,ได้รับสิทธิ์เซเรเนด Emerald นานสูงสุด 12 เดือน,ประกันภัยไวรัสโคโรนา (COVID-19) จากทิพยประกันภัย คุ้มครอง 45 วัน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,699,,300,,20,,300,
AIS,รายเดือน,4G Max Speed,599,บาท/เดือน,300 นาที ,300 นาที ,(ทุกเครือข่าย),16 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"YouTube Premium 3 เดือน,รับสิทธิ์ฟรีเน็ตสำหรับ PLAY FAMILY ฟรี 6 เดือน, Microsoft Office 365 และ Zoom Video Conferencing 3 เดือน,ได้รับสิทธิ์เซเรเนด Emerald นานสูงสุด 12 เดือน,ประกันภัยไวรัสโคโรนา (COVID-19) จากทิพยประกันภัย คุ้มครอง 45 วัน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,599,,300,,16,,300,
AIS,รายเดือน,4G Max Speed,499,บาท/เดือน,200 นาที ,200 นาที ,(ทุกเครือข่าย),10 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"YouTube Premium 3 เดือน,รับสิทธิ์ฟรีเน็ตสำหรับ PLAY FAMILY ฟรี 6 เดือน, Microsoft Office 365 และ Zoom Video Conferencing 3 เดือน,ได้รับสิทธิ์เซเรเนด Emerald นานสูงสุด 12 เดือน,ประกันภัยไวรัสโคโรนา (COVID-19) จากทิพยประกันภัย คุ้มครอง 45 วัน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,499,,200,,10,,300,
AIS,รายเดือน,Fixxy,599,บาท/เดือน,ไม่จำกัด,300 นาที ,,20 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), - , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"Youtube Premium 3 เดือน, PLAY Family 6 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 15 Mbps,5G,599,,300,,20,,9999,
AIS,รายเดือน,Fixxy,499,บาท/เดือน,ไม่จำกัด,250 นาที ,,ไม่จำกัด,15 Mbps,AIS Super Wifi (ไม่จำกัด), - , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"Youtube Premium 3 เดือน, PLAY Family 6 เดือน",โทรฟรีในเครือข่ายครั้งละ 30 นาที,4G/3G,499,,250,,9999,,15,
